,Rank,Name,Market Cap,Price,Today,Price (30 days),Country
,60,HermèsRMS.PA,$261.53 B,"$2,495",1.87%,,🇫🇷 France
,61,Bank of China601988.SS,$247.84 B,$0.77,0.56%,,🇨🇳 China
,62,T-Mobile USTMUS,$245.51 B,$219.50,2.25%,,🇺🇸 USA
,63,IBMIBM,$245.25 B,$262.38,1.10%,,🇺🇸 USA
,64,L'OréalOR.PA,$244.02 B,$457.16,3.45%,,🇫🇷 France
,65,CATL300750.SZ,$243.48 B,$52.92,2.80%,,🇨🇳 China
,66,SAPSAP,$238.64 B,$204.53,0.39%,,🇩🇪 Germany
,67,International Holding CompanyIHC.AE,$238.64 B,$108.79,0.00%,,🇦🇪 UAE
,68,Royal Bank Of CanadaRY,$238.09 B,$169.47,0.07%,,🇨🇦 Canada
,69,McDonaldMCD,$233.76 B,$327.58,1.36%,,🇺🇸 USA
,70,IntelINTC,$233.72 B,$46.79,0.67%,,🇺🇸 USA
,71,American ExpressAXP,$232.48 B,$337.50,1.57%,,🇺🇸 USA
,72,SiemensSIE.DE,$228.15 B,$291.30,2.23%,,🇩🇪 Germany
,73,PepsicoPEP,$226.89 B,$165.94,0.75%,,🇺🇸 USA
,74,LindeLIN,$225.54 B,$481.00,1.72%,,🇬🇧 UK
,75,ShellSHEL,$223.71 B,$78.77,0.70%,,🇬🇧 UK
,76,Mitsubishi UFJ FinancialMUFG,$223.18 B,$19.73,0.66%,,🇯🇵 Japan
,77,ProsusPRX.AS,$222.51 B,$50.93,0.95%,,🇳🇱 Netherlands
,78,Novo NordiskNVO,$220.42 B,$49.57,1.31%,,🇩🇰 Denmark
,79,China Mobile0941.HK,$219.58 B,$10.03,0.26%,,🇨🇳 China
,80,GE VernovaGEV,$217.63 B,$802.13,1.77%,,🇺🇸 USA
,81,Reliance IndustriesRELIANCE.NS,$214.45 B,$15.85,1.23%,,🇮🇳 India
,82,Commonwealth BankCBA.AX,$211.34 B,$126.40,1.18%,,🇦🇺 Australia
,83,InditexITX.MC,$211.03 B,$67.72,0.00%,,🇪🇸 Spain
,84,VerizonVZ,$206.67 B,$49.01,0.91%,,🇺🇸 USA
,85,Texas InstrumentsTXN,$205.49 B,$226.16,1.39%,,🇺🇸 USA
,86,AT&TT,$203.39 B,$28.69,0.38%,,🇺🇸 USA
,87,AmgenAMGN,$198.99 B,$369.19,0.82%,,🇺🇸 USA
,88,CitigroupC,$198.35 B,$110.86,0.26%,,🇺🇸 USA
,89,Abbott LaboratoriesABT,$196.11 B,$112.68,1.09%,,🇺🇸 USA
,90,Rio TintoRIO,$195.76 B,$98.07,0.16%,,🇬🇧 UK
,91,Nextera EnergyNEE,$195.34 B,$93.80,2.03%,,🇺🇸 USA
,92,China Life Insurance601628.SS,$194.03 B,$6.86,1.64%,,🇨🇳 China
,93,Deutsche TelekomDTE.DE,$192.97 B,$38.76,1.33%,,🇩🇪 Germany
,94,KLAKLAC,$192.37 B,"$1,464",0.92%,,🇺🇸 USA
,95,Gilead SciencesGILD,$192.28 B,$154.98,2.09%,,🇺🇸 USA
